"Var1","Freq","addresses","lon","lat","geoAddress"
"""1500 block Orleans St""",1,"1500 Orleans St, Baltimore",-76.5973403,39.2951895,"1500 orleans st, baltimore, md 21205, usa"
"""1600 block Monument St""",1,"1600 Monument St, Baltimore",-76.5959172,39.2986471,"1600 e monument st, baltimore, md 21205, usa"
"""1600 block Orleans St""",1,"1600 Orleans St, Baltimore",-76.5959036,39.2957145,"1600 orleans st, baltimore, md 21205, usa"
"""1700 block Jefferson St""",1,"1700 Jefferson St, Baltimore",-76.593974,39.2962773,"1700 jefferson st, baltimore, md 21287, usa"
"""1700 block Monument St""",1,"1700 Monument St, Baltimore",-76.594106,39.2983815,"1700 e monument st, baltimore, md 21287, usa"
"""1700 block Orleans St""",1,"1700 Orleans St, Baltimore",-76.5942056,39.2953111,"1700 orleans st, baltimore, md 21287, usa"
"""1700 E Monument St""",1,"1700 E Monument St, Baltimore",-76.594106,39.2983815,"1700 e monument st, baltimore, md 21287, usa"
"""1800 block Madison St""",1,"1800 Madison St, Baltimore",-76.5922066,39.2995245,"1800 e madison st, baltimore, md 21205, usa"
"""1800 block Orleans St""",1,"1800 Orleans St, Baltimore",-76.5921777,39.2968969,"1800 orleans st, baltimore, md 21287, usa"
"""1800 E Monument St""",1,"1800 E Monument St, Baltimore",-76.591975,39.2990097,"1800 e monument st, baltimore, md 21205, usa"
"""1800 Monument St (JHOC) Pharmacy""",2,"1800 Monument St, Baltimore",-76.591975,39.2990097,"1800 e monument st, baltimore, md 21205, usa"
"""1830 Bldg Men's Restroom""",1,"1830 E. Monument St, Baltimore",-76.5912185,39.2987111,"1830 bldg, 1830 e monument st, baltimore, md 21205, usa"
"""1900 Block McElderry Street""",1,"1900 McElderry St, Baltimore",-76.5907588,39.2974129,"1900 mcelderry st, baltimore, md 21205, usa"
"""200 block Wolfe St""",1,"200 Wolfe St, Baltimore",-76.5930693,39.2948241,"200 n wolfe st, baltimore, md 21287, usa"
"""2013 E Monument St Bldg""",1,"2013 E Monument St, Baltimore",-76.5890899,39.2984148,"2013 e monument st, baltimore, md 21205, usa"
"""2024 Bldg""",1,"2024 E. Monument St, Baltimore",-76.5882635,39.299014,"2024 e monument st, baltimore, md 21205, usa"
"""2213 E McElderry St""",1,"2213 E McElderry St, Baltimore",-76.5860367,39.2973181,"2213 mcelderry st, baltimore, md 21205, usa"
"""300 block Broadway""",1,"300 Broadway, Baltimore",-76.5943648,39.2948164,"300 n broadway, baltimore, md 21231, usa"
"""415 N Washington St.""",2,"415 N Washington St., Baltimore",-76.589139,39.295907,"415 n washington st, baltimore, md 21231, usa"
"""525 North Wolfe Street""",1,"525 North Wolfe St, Baltimore",-76.5905219,39.2969084,"525 n wolfe st, baltimore, md 21205, usa"
"""600 block Wolfe St""",1,"600 Wolfe St, Baltimore",-76.5922095,39.2972477,"600 n wolfe st, baltimore, md 21287, usa"
"""600 N Wolfe St""",1,"600 N Wolfe St, Baltimore",-76.5922095,39.2972477,"600 n wolfe st, baltimore, md 21287, usa"
"""700 block Castle St""",2,"700 Castle St, Baltimore",-76.5886947,39.2986119,"700 n castle st, baltimore, md 21205, usa"
"""700 block Rutland Ave""",1,"700 Rutland Ave, Baltimore",-76.592178,39.2984724,"700 rutland ave, baltimore, md 21205, usa"
"""700 block Wolfe St""",1,"700 Wolfe St, Baltimore",-76.5901464,39.283427,"700 s wolfe st, baltimore, md 21231, usa"
"""900 Wolfe St""",1,"900 Wolfe St, Baltimore",-76.5901266,39.2816443,"900 s wolfe st, baltimore, md 21231, usa"
"""929 Wolfe Street 929 Wolfe St""",1,"929 Wolfe St, Baltimore",-76.5909234,39.3012245,"929 n wolfe st, baltimore, md 21205, usa"
"""933 N. Wolfe Street""",1,"933 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Adult Emergency Department""",18,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Adult Emergency Department Waiting Area""",1,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Adult Emergency Department; Psych""",1,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Armstrong Med Ed Building""",1,"1600 McElderry St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Ashland Garage 1900 Ashland Ave""",1,"1900 Ashland Ave, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Ashland St Garage""",1,"1900 Ashland Ave, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Billings Building 3rd floor""",3,"600 North Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Blalock Bldg""",9,"1775 E Monument St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Blalock Bldg 2nd Flr""",1,"1775 E Monument St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Blalock Bldg 5th floor""",1,"1775 E Monument St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Blalock Bldg 6th floor""",1,"1775 E Monument St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Blalock Bldg 9th Flr""",1,"1775 E Monument St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center""",7,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 10th floor""",1,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 10th Floor""",4,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 11th Floor""",1,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 12th floor""",5,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 12th Floor""",3,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 2nd Floor""",2,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 3rd floor""",1,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 3rd Floor""",2,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 4th floor""",2,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 4th Floor""",1,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 5th floor""",2,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 5th Floor""",1,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 8th Floor""",2,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Bloomberg Childrens Center 9th floor""",1,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Brady Building 4th floor""",1,"600 N Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"733 N Broadway, Baltimore",1,"733 N Broadway, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Carnegie Bldg 2nd floor""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Carnegie Bldg 3rd floor""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Carnegie Bldg 5th Flr""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""CMSC Building 1st floor""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""CMSC Building 1st Floor""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""CMSC Building 8th Flr""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""CMSC Building Basement""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""CMSC Building Cafeteria""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""CMSC Sub-Basement""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Cooley Center 1st floor""",1,"1620 McElderry St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""CRB1 Bldg""",1,"1650 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""CRB1 Bldg 2nd floor""",1,"1650 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""CRB1 Bldg Ground Floor""",1,"1650 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Halsted Building""",1,"1775 E Monument St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Halsted Building 2nd floor""",1,"1775 E Monument St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Halsted Building 8th floor""",1,"1775 E Monument St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"624 N Broadway, Baltimore",2,"624 N Broadway, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""JHBSPH 615 N Wolfe St""",2,"615 N Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""JHOPC""",3,"601 N Caroline St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""JHOPC 1st floor""",4,"601 N Caroline St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""JHOPC 4th floor""",2,"601 N Caroline St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""JHOPC 5th floor""",3,"601 N Caroline St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""JHOPC 6th floor""",1,"601 N Caroline St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""JHOPC 7th floor""",2,"601 N Caroline St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""JHOPC Lower Level""",1,"601 N Caroline St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Marburg Bldg 2nd floor""",1,"401 North Broadway, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Marburg Bldg 3rd floor""",2,"401 North Broadway, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Maumenee Building 7th floor""",1,"600 North Wolfe St., Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""McElderry St Garage Lower Level 1""",1,"601 North Caroline St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Meyer Bldg""",3,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Meyer Bldg 3rd Flr""",6,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Meyer Bldg 4th Flr""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Meyer Bldg 5th Flr""",13,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Meyer Bldg 6th Flr""",2,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Nelson/Harvey Bldg""",2,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Nelson/Harvey Bldg 1st floor""",8,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Nelson/Harvey Bldg 2nd Floor""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Nelson/Harvey Bldg 3rd floor""",2,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Nelson/Harvey Bldg 4th floor""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Nelson/Harvey Bldg 6th floor""",3,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Nelson/Harvey Bldg 8th floor""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Nelson/Harvey Bldg Basement""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Orleans St""",2,"Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Orleans St & N Wolfe St""",2,"Orleans St & N Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Orleans St & Wolfe St""",1,"Orleans St & N Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Orleans St Garage""",4,"200 N Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Orleans St Garage Level 2""",1,"200 N Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Osler Bldg 1st Flr""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Osler Building 1st floor""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Pathology Building""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Pathology Building 4th floor""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Pediatric Emergency Department""",2,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Pediatric Emergency Department; Psych""",1,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Pediatric Emergency Dept""",2,"1800 Orleans St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
"""Phipps Bldg Basement""",1,"600 N. Wolfe St, Baltimore",NA,NA,"1500 orleans st, baltimore, md 21205, usa"
