Crime,Case Number,"Date/Time
Reported","Date/Time
Occurred",General Location,Disposition
Assault,1501M-0095,1/1/15,1/1/15 7:50 AM,Meyer Bldg,Closed-Investigation
Assault,1501M-0855,1/4/15,1/4/15 7:44 PM,Bloomberg Childrens Center 12th Floor,Closed-Investigation
Assault,1501M-1318,1/6/15,1/6/15 2:43 PM,Zayed Tower 12th Floor,Closed-Investigation
Assault,1501M-1796,1/8/15,1/7/15 3:50 PM,Meyer Bldg 5th Flr,Closed-Investigation
Theft,1501M-1812,1/8/15,1/7/15 2:30 PM,Weinberg Bldg 1st floor,Closed-Arrest
Theft,1501M-2179,1/9/15,1/9/15 4:00 PM,Bloomberg Childrens Center 2nd Floor,Closed-Investigation
Assault,1501M-2152,1/9/15,1/9/15 5:20 PM,Meyer Bldg 4th Flr,Closed-Investigation
Assault,1501M-2402,1/10/15,1/10/15 6:30 PM,Blalock Bldg,Closed-Investigation
Assault,1501M-2527,1/11/15,1/11/15 8:59 AM,Nelson/Harvey Bldg 1st floor,Closed-Investigation
Theft,1501M-2865,1/12/15,1/12/15 4:30 PM,Bloomberg Childrens Center 11th Floor,Closed-Investigation
Assault,1501M-2867,1/12/15,1/12/15 7:57 PM,Bloomberg Childrens Center 12th Floor,Closed-Investigation
Theft,1501M-3460,1/14/15,1/14/15 9:30 AM,CRB1 Bldg,Closed-Investigation
Theft,1501M-3489,1/14/15,1/11/15 6:30 PM,Smith Bldg/Wilmer Eye Bike Rack,Closed-Investigation
Theft,1501M-3737,1/15/15,1/15/15 12:15 PM,1800 Monument St (JHOC) Pharmacy,Closed-Arrest
Assault,1501M-3845,1/15/15,1/14/15 8:50 PM,Zayed Tower 5th Floor,Closed-Investigation
Assault,1501M-4539,1/18/15,1/18/15 2:40 AM,Blalock Bldg,Closed-Investigation
Assault,1501M-4901,1/19/15,1/19/15 4:00 PM,Ross Bldg 3rd Flr,Closed-Investigation
Theft,1501M-5631,1/21/15,1/21/15 6:45 PM,1800 Monument St (JHOC) Pharmacy,Closed-Investigation
Assault,1501M-5524,1/21/15,1/21/15 10:10 AM,Bloomberg Childrens Center,Closed-Investigation
Theft,1501M-5628,1/21/15,1/20/15 7:00 PM,Marburg Bldg 3rd floor,Closed-Investigation
Theft,1501M-5538,1/21/15,1/21/15 2:30 PM,Weinberg Bldg 4th floor,Closed-Investigation
Theft,1501M-5535,1/21/15,1/21/15 6:45 AM,Zayed Tower 10th Floor,Closed-Investigation
Theft,1501M-6028,1/22/15,1/22/15 6:40 AM,Bloomberg Childrens Center 10th Floor,Closed-Investigation
Theft,1501M-5888,1/22/15,1/22/15 3:00 PM,JHOPC Lower Level,Closed-Investigation
Theft,1501M-5925,1/22/15,1/22/15 12:00 PM,Zayed Tower 11th Floor,Closed-Investigation
Theft,1501M-6234,1/23/15,1/23/15 11:00 AM,Bloomberg Childrens Center 8th Floor,Closed-Investigation
Theft,1501M-6272,1/23/15,1/23/15 4:46 PM,Meyer Bldg 5th Flr,Closed-Investigation
Theft,1501M-6264,1/23/15,1/23/15 4:30 PM,Orleans St & N Wolfe St,Closed-Investigation
Theft,1501M-6359,1/23/15,1/23/15 7:00 AM,Weinberg Bldg 2nd floor,Closed-Investigation
Theft,1501M-7162,1/26/15,1/26/15 2:00 PM,Zayed Tower 12th Floor,Closed-Investigation
Theft,1501M-7566,1/27/15,1/27/15 11:00 AM,Weinberg Bldg,Closed-Investigation
Theft,1501M-7780,1/28/15,1/28/15 12:00 PM,Osler Bldg 1st Flr,Closed-Investigation
Theft,1501M-8136,1/29/15,11/1/14 8:00 AM,Bloomberg Childrens Center 2nd Floor,Closed-Investigation
Theft,1501M-8290,1/29/15,1/27/15 9:30 PM,PMOB Bldg,Closed-Investigation
Theft,1502M-0525,2/2/15,2/2/15 1:30 PM,Bloomberg Childrens Center 8th Floor,Closed-Investigation
Forgery,1502M-1203,2/4/15,2/4/15 1:14 PM,JHOPC 1st floor,Closed-Investigation
Theft,1502M-1047,2/4/15,2/4/15 12:00 AM,Weinberg Bldg 5th floor,Closed-Investigation
Theft,1502M-1649,2/5/15,2/5/15 4:14 PM,Nelson/Harvey Bldg 1st floor,Closed-Investigation
Theft,1502M-2786,2/9/15,2/6/15 4:45 PM,Weinberg Bldg 1st floor,Closed-Investigation
Theft,1502M-3240,2/10/15,2/10/15 2:00 PM,JHOPC 1st floor,Closed-Investigation
Theft,1502M-3626,2/11/15,2/5/15 4:00 PM,2013 E Monument St Bldg,Closed-Investigation
Theft,1502M-3609,2/11/15,2/11/15 8:00 AM,Carnegie Bldg 5th Flr,Closed-Investigation
Assault,1502M-3970,2/12/15,2/12/15 6:56 PM,Zayed Tower 4th Floor,Closed-Investigation
Theft,1502M-4197,2/13/15,2/13/15 11:45 AM,Nelson/Harvey Bldg 8th floor,Closed-Investigation
Theft,1502M-4793,2/14/15,2/14/15 12:00 PM,Nelson/Harvey Bldg 1st floor,Closed-Investigation
Assault,1502M-4480,2/14/15,2/14/15 10:32 AM,Nelson/Harvey Bldg 1st floor,Closed-Investigation
Vandalism,1502M-4990,2/16/15,2/15/15 12:15 AM,CRB1 Bldg Ground Floor,Closed-Investigation
Theft,1502M-4997,2/16/15,2/16/15 12:18 PM,Weinberg Bldg 1st floor,Closed-Investigation
Assault,1502M-5683,2/18/15,2/17/15 11:30 PM,929 Wolfe Street 929 Wolfe St,Closed-Investigation
Vandalism,1502M-5448,2/18/15,2/17/15 12:00 AM,1830 Bldg Men's Restroom,Closed-Investigation
Trespassing,1502M-5713,2/18/15,2/18/15 7:00 PM,Nelson/Harvey Bldg 1st floor,Closed-Arrest
Theft,1502M-5605,2/18/15,2/18/15 6:30 AM,Zayed Tower 9th Floor,Closed-Investigation
Theft,1502M-6020,2/19/15,2/19/15 12:30 PM,Blalock Bldg,Closed-Investigation
Sex Offense,1502M-6043,2/19/15,2/19/15 5:45 PM,Zayed Tower 1st Floor,Closed-Investigation
Assault,1502M-6979,2/23/15,2/23/15 5:30 AM,525 North Wolfe Street,Closed-Investigation
Vandalism,1502M-7083,2/23/15,2/23/15 7:00 AM,Bloomberg Childrens Center,Closed-Investigation
Assault,1502M-6907,2/23/15,2/23/15 1:14 AM,Bloomberg Childrens Center 10th Floor,Closed-Arrest
Assault,1502M-7820,2/25/15,2/25/15 7:45 PM,Adult Emergency Department,Closed-Investigation
Theft,1502M-7690,2/25/15,2/25/15 1:00 PM,Blalock Bldg 9th Flr,Closed-Investigation
Assault,1502M-8184,2/26/15,2/25/15 9:00 PM,Marburg Bldg 3rd floor,Closed-Investigation
Assault,1502M-8387,2/27/15,2/27/15 10:54 AM,Adult Emergency Department,Closed-Investigation
Assault,1502M-8509,2/27/15,2/27/15 7:35 PM,Adult Emergency Department,Closed-Investigation
Theft,1503M-0673,3/3/15,3/2/15 8:15 AM,JHOPC 7th floor,Closed-Investigation
Theft,1503M-1038,3/4/15,3/3/15 4:00 PM,Blalock Bldg 2nd Flr,Closed-Investigation
Theft,1503M-1039,3/4/15,3/3/15 5:00 PM,Marburg Bldg 2nd floor,Closed-Investigation
Assault,1503M-1434,3/5/15,3/5/15 9:58 PM,Bloomberg Childrens Center,Closed-Investigation
Assault,1503M-1898,3/7/15,3/7/15 11:45 AM,Meyer Bldg 3rd Flr,Closed-Investigation
Theft,1503M-2555,3/9/15,3/9/15 8:11 PM,Adult Emergency Department,Closed-Investigation
Theft,1503M-2349,3/9/15,3/9/15 8:00 AM,JHOPC 5th floor,Closed-Investigation
Theft,1503M-2874,3/10/15,3/10/15 12:35 PM,Orleans St Garage Level 2,Closed-Investigation
Vandalism,1503M-3076,3/11/15,3/11/15 8:30 AM,Bloomberg Childrens Center 3rd Floor,Closed-Investigation
Assault,1503M-4295,3/15/15,3/15/15 3:02 PM,Adult Emergency Department,Closed-Investigation
Assault,1503M-4674,3/16/15,3/16/15 4:37 PM,Bloomberg Childrens Center 12th Floor,Closed-Investigation
Theft,1503M-5791,3/17/15,3/17/15 11:00 AM,Bloomberg Childrens Center,Closed-Investigation
Vandalism,1503M-4806,3/17/15,3/16/15 11:45 PM,BRB Bldg 733 N Broadway,Closed-Investigation
Vandalism,1503M-5062,3/17/15,3/17/15 5:08 PM,JHOPC,Closed-Investigation
Theft,1503M-6707,3/20/15,2/6/15 11:20 AM,Nelson/Harvey Bldg 6th floor,Closed-Investigation
Assault,1503M-7002,3/21/15,3/20/15 11:00 PM,Meyer Bldg 5th Flr,Closed-Investigation
Theft,1503M-7880,3/24/15,3/24/15 2:35 PM,Zayed Tower 9th Floor,Closed-Investigation
Vandalism,1503M-9157,3/28/15,3/28/15 2:14 PM,Bloomberg Childrens Center,Closed-Investigation
Theft,1503M-9297,3/29/15,3/29/15 12:00 AM,Bloomberg Childrens Center 10th Floor,Closed-Investigation
Forgery,1503M-9767,3/30/15,3/30/15 6:58 PM,Bloomberg Childrens Center,Closed-Investigation
Theft,1503M-10037,3/31/15,3/27/15 4:30 PM,Phipps Bldg Basement,Closed-Investigation
Drug Violation,1504M-0733,4/2/15,4/2/15 10:04 PM,Zayed Tower 9th Floor,Closed-Investigation
Theft,1504M-0958,4/3/15,4/1/15 11:00 AM,2024 Bldg,Closed-Investigation
Weapons Violation,1504M-1288,4/4/15,4/4/15 5:54 PM,Pediatric Emergency Dept,Closed-Investigation
Aggravated Assault,1504M-2078,4/6/15,4/6/15 8:10 PM,1700 E Monument St,Closed-Investigation
Vandalism,1504M-1738,4/6/15,4/3/15 5:00 PM,Bloomberg Childrens Center 3rd Floor,Closed-Investigation
Vandalism,1504M-1735,4/6/15,4/4/15 7:00 PM,Pediatric Emergency Dept,Closed-Investigation
Theft,1504M-2016,4/7/15,4/6/15 7:30 PM,Zayed Tower 7th Floor,Closed-Investigation
Theft,1504M-3305,4/10/15,4/10/15 4:50 PM,Adult Emergency Department,Closed-Investigation
Theft,1504M-3236,4/10/15,4/10/15 3:00 PM,JHOPC 6th floor,Closed-Investigation
Assault,1504M-3235,4/10/15,4/10/15 11:00 AM,Zayed Tower 10th Floor,Closed-Investigation
Trespassing,1504M-4044,4/13/15,4/13/15 9:09 AM,Washington St Garage,Closed-Arrest
Theft,1504M-4558,4/14/15,4/14/15 6:31 PM,Bloomberg Childrens Center 5th Floor,Closed-Investigation
Theft,1504M-4632,4/14/15,4/14/15 10:30 PM,Meyer Bldg,Closed-Investigation
Assault,1504M-5590,4/17/15,4/17/15 8:35 AM,Meyer Bldg 6th Flr,Closed-Investigation
Assault,1504M-5986,4/18/15,4/18/15 3:40 PM,Zayed Tower 11th Floor,Closed-Investigation
Assault,1504M-6355,4/19/15,4/19/15 3:15 PM,Bloomberg Childrens Center 4th Floor,Closed-Investigation
Assault,1504M-7813,4/23/15,4/23/15 1:18 PM,JHOPC 7th floor,Closed-Investigation
Theft,1504M-7767,4/23/15,4/22/15 11:00 AM,Weinberg Bldg 1st floor,Closed-Investigation
Trespassing,1504M-7886,4/23/15,4/23/15 5:30 PM,Zayed Tower,Closed-Arrest
Theft,1504M-8762,4/26/15,4/23/15 8:25 AM,CMSC Building 8th Flr,Closed-Investigation
Theft,1504M-9396,4/28/15,4/28/15 11:00 AM,Zayed Tower 9th Floor,Closed-Investigation
Theft,1504M-9410,4/28/15,4/25/15 7:23 AM,Zayed Tower Basement Level,Closed-Investigation
Assault,1504M-9935,4/29/15,4/21/15 7:50 AM,Adult Emergency Department,Closed-Investigation
Theft,1504M-9656,4/29/15,4/21/15 7:15 AM,CMSC Sub-Basement,Closed-Investigation
Theft,1504M-9772,4/29/15,4/22/15 1:30 PM,Zayed Tower 1st Floor,Closed-Investigation
Assault,1504M-9995,4/30/15,4/29/15 3:20 PM,Blalock Bldg,Closed-Investigation
Assault,1504M-9993,4/30/15,4/30/15 3:03 PM,Meyer Bldg 5th Flr,Closed-Investigation
Assault,1505M-0483,5/2/15,5/2/15 2:22 PM,Meyer Bldg 5th Flr,Closed-Investigation
Theft,1505M-1121,5/4/15,5/4/15 6:45 AM,Blalock Bldg,Closed-Investigation
Theft,1505M-1134,5/4/15,5/4/15 4:49 PM,Hampton House 624 N Broadway,Closed-Investigation
Assault,1505M-2381,5/7/15,5/7/15 7:59 PM,Adult Emergency Department,Closed-Investigation
Theft,1505M-2460,5/7/15,5/7/15 8:40 PM,Ashland Garage 1900 Ashland Ave,Closed-Investigation
Assault,1505M-2668,5/8/15,5/8/15 3:42 PM,600 N Wolfe St,Closed-Investigation
Theft,1505M-2703,5/8/15,5/7/15 7:00 PM,Meyer Bldg,Closed-Investigation
Assault,1505M-2759,5/8/15,5/8/15 8:14 PM,Meyer Bldg 3rd Flr,Closed-Investigation
Theft,1505M-2941,5/9/15,5/2/15 3:00 AM,Zayed Tower 12th Floor,Closed-Investigation
Theft,1505M-3547,5/11/15,5/11/15 6:28 PM,Blalock Bldg,Closed-Investigation
Theft,1505M-4285,5/13/15,5/11/15 6:30 PM,Zayed Tower 8th Floor,Closed-Investigation
Assault,1505M-4768,5/14/15,5/14/15 9:55 PM,Meyer Bldg 5th Flr,Closed-Investigation
Theft From Vehicle,1505M-5053,5/15/15,5/15/15 6:33 PM,Rutland Garage,Closed-Investigation
Theft,1505M-6129,5/19/15,5/19/15 11:10 AM,Blalock Bldg,Closed-Investigation
Assault,1505M-6914,5/21/15,5/21/15 5:49 PM,Bloomberg Childrens Center,Closed-Investigation
Assault,1505M-7287,5/22/15,5/22/15 7:53 PM,Zayed Tower 12th Floor,Closed-Investigation
Theft,1505M-7611,5/23/15,5/22/15 1:00 PM,Blalock Bldg,Closed-Investigation
Assault,1505M-7683,5/24/15,5/24/15 12:01 AM,900 Wolfe St,Closed-Investigation
