Crime,Case Number,Date/Time Reported,Date/Time Occurred,General Location,Disposition
Disorderly Conduct,IN20160000005,1/4/16 1:20 AM,1/4/16 1:20 AM,200 block Wolfe St,Closed-No Further Action
Theft,IN20160000032,1/7/16 5:10 PM,1/7/16 5:10 PM,Weinberg Building 3rd floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160000039,1/9/16 11:40 AM,1/9/16 11:19 AM,Nelson/Harvey Building 4th floor,Closed-Referred to BPD
Theft,IN20160000042,1/10/16 3:00 PM,1/10/16 2:50 PM,"Bloomberg Childrens Center 8th
floor",Closed-Referred to BPD
Theft,IN20160000060,1/11/16 3:20 PM,1/11/16 8:09 AM,"Weinberg Buillding 401 N
Broadway","Closed-No Suspects or
Witnesses"
Theft,IN20160000056,1/13/16 9:55 AM,1/11/16 9:09 AM,Meyer Building 2nd floor,Closed-Subject Arrested
Auto Theft,IN20160000051,1/11/16 4:55 PM,1/11/16 4:53 PM,200 block Wolfe St,Closed-Referred to BPD
Assault,IN20160000054,1/12/16 10:55 AM,1/12/16 10:55 AM,700 block Washington St,Closed-Subject Arrested
Theft,IN20160000059,1/13/16 3:00 PM,1/13/16 2:00 PM,Zayed Tower 10th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160000065,1/14/16 11:29 PM,1/14/16 11:18 AM,AED EACU North,"Closed-No Suspects or
Witnesses"
Assault,IN20160000072,1/14/16 7:00 PM,1/14/16 7:00 PM,"Bloomberg Childrens Center 12th
Floor",Closed-Referred to Dept
Theft,IN20160000084,1/16/16 9:56 AM,1/16/16 9:56 AM,1800 E Monument St,Closed-Subject Banned
Theft,IN20160000086,1/16/16 8:00 PM,1/16/16 7:46 PM,"Bloomberg Childrens Center 4th
floor",Closed-Referred to BPD
Assault,IN20160000092,1/18/16 11:19 AM,1/18/16 11:19 AM,Meyer Building 3rd Floor,Closed-Referred to Dept
Theft,IN20160000095,1/19/16 1:05 PM,1/19/16 12:52 PM,Meyer Building 1st floor,Closed-No Identifiable Suspect
Assault,IN20160000118,1/24/16 5:10 PM,1/24/16 5:10 PM,Meyer Building 6th floor,Closed-Referred to Dept
Weapons Violation,IN20160000135,1/28/16 2:50 PM,1/28/16 2:50 PM,Carnegie 1st floor,Closed-No Further Action
Assault,IN20160000147,1/29/16 3:40 PM,1/29/16 3:40 PM,Halsted 4th floor,Closed-No Further Action
Assault,IN20160000152,1/31/16 12:15 AM,1/31/16 12:15 AM,Bloomberg; Pediatric ED (Psych),Closed-No Further Action
Robbery,IN20160000160,2/1/16 10:20 PM,2/1/16 10:20 PM,600 block Broadway,Closed-Referred to BPD
Vandalism,IN20160000163,2/1/16 11:55 PM,2/1/16 11:55 PM,AED Family Waiting Room,Closed-No Further Action
Theft,IN20160000171,2/2/16 2:30 PM,2/2/16 2:00 PM,Zayed Tower 1st floor,"Closed-No Further Action;
Property Recovered"
Theft,IN20160000165,2/2/16 8:20 PM,2/2/16 8:20 PM,Zayed Tower 12th floor,"Closed-No Further Action;
Property Recovered"
Theft,IN20160000173,2/3/16 2:15 PM,2/3/16 2:15 PM,Outpatient Center 1st floor,"Closed-No Further Action;
Property Recovered"
Assault,IN20160000178,2/4/16 5:00 PM,2/4/16 3:00 PM,Zayed Tower Basement,Closed-Referred to Dept
Theft,IN20160000180,2/4/16 9:45 PM,2/4/16 9:11 PM,Nelson/Harvey Building 3rd floor,Closed-Referred to BPD
Assault,IN20160000182,2/5/16 1:26 AM,2/5/16 1:26 AM,AED,Closed-Referred to Dept
Assault,IN20160000185,2/5/16 9:50 AM,2/5/16 9:50 AM,AED; Psych,Closed-No Further Action
Assault,IN20160000198,2/6/16 3:30 PM,2/6/16 3:30 PM,AED; Psych,"Closed-Victim Declined to
Prosecute"
Robbery,IN20160000202,2/8/16 11:32 PM,2/8/16 11:32 PM,1600 block Monument Street,Closed-Subject Arrested
Vandalism,IN20160000210,2/9/16 1:10 PM,2/9/16 1:10 PM,"Bloomberg Childrens Center 5th
floor",Closed-Referred to Dept
Theft,IN20160000242,2/14/16 3:53AM,2/13/16-2/14/16,Bloomberg Building 4th Floor,"Closed-No Suspects or
Witnesses"
Assault,IN20160000244,2/14/16 11:26 AM,2/14/16 11:26 AM,Bloomberg; Pediatric ED,"Closed-Victim Declined to
Prosecute"
Robbery,IN20160000269,2/16/16 5:16 PM,2/16/16 5:16 PM,500 block Broadway,Closed-Referred to BPD
Theft,IN20160000301,2/18/16 10:04 PM,2/18/16 10:04 PM,"Zayed Tower 2nd floor; Arcade
Pharmacy","Closed-Victim Declined to
Prosecute"
Theft,IN20160000322,2/22/16 3:29 PM,2/22/16 3:29 PM,700 block Broadway,Closed-Referred to BPD
Theft,IN20160000324,2/22/16 7:05 PM,2/22/2016 18:16,600 block Broadway,"Closed-Victim Declined to
Prosecute"
Vandalism,IN20160000332,2/23/16 8:08 PM,2/23/16 8:08 PM,Bloomberg; Pediatric ED,Closed-No Further Action
Theft,IN20160000358,2/26/16 12:30 PM,2/26/16 2:55 PM,Outpatient Center 5th floor,Closed-No Identifiable Suspect
Assault,IN20160000373,2/28/16 6:00 AM,2/28/16 6:00 AM,Nelson/Harvey Building 6th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160000397,3/3/16 8:20 AM,2/29/16 7:00 AM,Outpatient Center Lower Level,"Closed-No Suspects or
Witnesses"
Theft,IN20160000406,3/3/16 7:01 AM,3/2/16 4:00 PM,Nelson/Harvey Building 109,"Closed-No Suspects or
Witnesses"
Assault,IN20160000419,3/4/16 6:41 PM,3/4/16 6:41 PM,Meyer Building 5th Floor,"Closed-Victim Declined to
Prosecute"
Drug Violation,IN20160000444,3/4/16 10:40 PM,3/4/16 10:40 PM,Zayed Tower 1st floor,Closed-Referred to BPD
Disorderly Conduct,IN20160000443,3/7/16 8:00 PM,3/7/16 7:25 PM,Zayed Tower 1st floor,Closed-No Further Action
Theft,IN20160000450,3/8/16 3:43 PM,3/8/16 2:39 PM,Outpatient Center 5th floor,Closed-Referred to BPD
Weapons Violation,IN20160000457,3/9/16 5:18 PM,3/9/16 5:18 PM,Zayed Tower 12th floor,Closed-Referred to BPD
Theft,IN20160000466,3/9/16 7:26 PM,3/9/16 4:30 PM,Zayed Tower 12th floor,Closed-No Further Action
Theft,IN20160000473,3/10/16 8:30 PM,3/10/16 8:00 PM,AED; Psych,Closed-Referred to BPD
Assault,IN20160000482,3/12/16 6:16 PM,3/12/16 6:10 PM,Nelson/Harvey Building 5th floor,"Closed-Victim Declined to
Prosecute"
