Var1,Freq,addresses
1500 block Orleans St,1,"1500 Orleans St, Baltimore"
1600 block Monument St,1,"1600 Monument St, Baltimore"
1600 block Orleans St,1,"1600 Orleans St, Baltimore"
1700 block Jefferson St,1,"1700 Jefferson St, Baltimore"
1700 block Monument St,1,"1700 Monument St, Baltimore"
1700 block Orleans St,1,"1700 Orleans St, Baltimore"
1700 E Monument St,1,"1700 E Monument St, Baltimore"
1800 block Madison St,1,"1800 Madison St, Baltimore"
1800 block Orleans St,1,"1800 Orleans St, Baltimore"
1800 E Monument St,1,"1800 E Monument St, Baltimore"
1800 Monument St (JHOC) Pharmacy,2,"1800 Monument St, Baltimore"
1830 Bldg Men's Restroom,1,"1830 E. Monument St, Baltimore"
1900 Block McElderry Street,1,"1900 McElderry St, Baltimore"
200 block Wolfe St,1,"200 Wolfe St, Baltimore"
2013 E Monument St Bldg,1,"2013 E Monument St, Baltimore"
2024 Bldg,1,"2024 E. Monument St, Baltimore"
2213 E McElderry St,1,"2213 E McElderry St, Baltimore"
300 block Broadway,1,"300 Broadway, Baltimore"
415 N Washington St.,2,"415 N Washington St., Baltimore"
525 North Wolfe Street,1,"525 North Wolfe St, Baltimore"
600 block Wolfe St,1,"600 Wolfe St, Baltimore"
600 N Wolfe St,1,"600 N Wolfe St, Baltimore"
700 block Castle St,2,"700 Castle St, Baltimore"
700 block Rutland Ave,1,"700 Rutland Ave, Baltimore"
700 block Wolfe St,1,"700 Wolfe St, Baltimore"
900 Wolfe St,1,"900 Wolfe St, Baltimore"
929 Wolfe Street 929 Wolfe St,1,"929 Wolfe St, Baltimore"
933 N. Wolfe Street,1,"933 N. Wolfe St, Baltimore"
Adult Emergency Department,18,"1800 Orleans St, Baltimore"
Adult Emergency Department Waiting Area,1,"1800 Orleans St, Baltimore"
Adult Emergency Department; Psych,1,"1800 Orleans St, Baltimore"
Armstrong Med Ed Building,1,"1600 McElderry St, Baltimore"
Ashland Garage 1900 Ashland Ave,1,"1900 Ashland Ave, Baltimore"
Ashland St Garage,1,"1900 Ashland Ave, Baltimore"
Billings Building 3rd floor,3,"600 North Wolfe St, Baltimore"
Blalock Bldg,9,"1775 E Monument St, Baltimore"
Blalock Bldg 2nd Flr,1,"1775 E Monument St, Baltimore"
Blalock Bldg 5th floor,1,"1775 E Monument St, Baltimore"
Blalock Bldg 6th floor,1,"1775 E Monument St, Baltimore"
Blalock Bldg 9th Flr,1,"1775 E Monument St, Baltimore"
Bloomberg Childrens Center,7,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 10th floor,1,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 10th Floor,4,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 11th Floor,1,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 12th floor,5,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 12th Floor,3,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 2nd Floor,2,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 3rd floor,1,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 3rd Floor,2,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 4th floor,2,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 4th Floor,1,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 5th floor,2,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 5th Floor,1,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 8th Floor,2,"1800 Orleans St, Baltimore"
Bloomberg Childrens Center 9th floor,1,"1800 Orleans St, Baltimore"
Brady Building 4th floor,1,"600 N Wolfe St, Baltimore"
"733 N Broadway, Baltimore",1,"733 N Broadway, Baltimore"
Carnegie Bldg 2nd floor,1,"600 N. Wolfe St, Baltimore"
Carnegie Bldg 3rd floor,1,"600 N. Wolfe St, Baltimore"
Carnegie Bldg 5th Flr,1,"600 N. Wolfe St, Baltimore"
CMSC Building 1st floor,1,"600 N. Wolfe St, Baltimore"
CMSC Building 1st Floor,1,"600 N. Wolfe St, Baltimore"
CMSC Building 8th Flr,1,"600 N. Wolfe St, Baltimore"
CMSC Building Basement,1,"600 N. Wolfe St, Baltimore"
CMSC Building Cafeteria,1,"600 N. Wolfe St, Baltimore"
CMSC Sub-Basement,1,"600 N. Wolfe St, Baltimore"
Cooley Center 1st floor,1,"1620 McElderry St, Baltimore"
CRB1 Bldg,1,"1650 Orleans St, Baltimore"
CRB1 Bldg 2nd floor,1,"1650 Orleans St, Baltimore"
CRB1 Bldg Ground Floor,1,"1650 Orleans St, Baltimore"
