Var1,Freq,lon,lat
"1500 Orleans St, Baltimore",1,-76.5973403,39.2951895
"1600 McElderry St, Baltimore",1,-76.5956873,39.2977654
"1600 Monument St, Baltimore",1,-76.5959172,39.2986471
"1600 Orleans St, Baltimore",1,-76.5959036,39.2957145
"1620 McElderry St, Baltimore",1,-76.5952341,39.2974558
"1650 Orleans St, Baltimore",3,-76.5945582,39.2966112
"1700 E Monument St, Baltimore",1,-76.594106,39.2983815
"1700 Jefferson St, Baltimore",1,-76.593974,39.2962773
"1700 Monument St, Baltimore",1,-76.594106,39.2983815
"1700 Orleans St, Baltimore",1,-76.5942056,39.2953111
"1775 E Monument St, Baltimore",8,-76.5921401,39.2983066
"1800 E Monument St, Baltimore",1,-76.591975,39.2990097
"1800 Madison St, Baltimore",1,-76.5922066,39.2995245
"1800 Monument St, Baltimore",1,-76.591975,39.2990097
"1800 Orleans St, Baltimore",44,-76.5921777,39.2968969
"1821 E Madison St, Baltimore",1,-76.59173,39.29946
"1830 E. Monument St, Baltimore",1,-76.5912185,39.2987111
"1900 Ashland Ave, Baltimore",2,-76.5909891,39.3006412
"1900 McElderry St, Baltimore",1,-76.5907588,39.2974129
"200 N Wolfe St, Baltimore",3,-76.5930693,39.2948241
"200 Wolfe St, Baltimore",1,-76.5930693,39.2948241
"2013 E Monument St, Baltimore",1,-76.5890899,39.2984148
"2024 E. Monument St, Baltimore",1,-76.5882635,39.299014
"2213 E McElderry St, Baltimore",1,-76.5860367,39.2973181
"300 Broadway, Baltimore",1,-76.5943648,39.2948164
"400 N Broadway, Baltimore",1,-76.5945163,39.2957943
"401 N Broadway, Baltimore",6,-76.5933402,39.2958915
"401 North Broadway, Baltimore",2,-76.5933402,39.2958915
"415 N Washington St., Baltimore",1,-76.589139,39.295907
"525 North Wolfe St, Baltimore",1,-76.5905219,39.2969084
"600 N Wolfe St, Baltimore",6,-76.5922095,39.2972477
"600 N. Wolfe St, Baltimore",27,-76.5922095,39.2972477
"600 North Wolfe St, Baltimore",1,-76.5922095,39.2972477
"600 North Wolfe St., Baltimore",1,-76.5922095,39.2972477
"600 Wolfe St, Baltimore",1,-76.5922095,39.2972477
"601 N Caroline St, Baltimore",7,-76.5952457,39.2967509
"601 North Caroline St, Baltimore",1,-76.5952457,39.2967509
"615 N Wolfe St, Baltimore",1,-76.5901799,39.2979969
"624 N Broadway, Baltimore",1,-76.5945999,39.2980106
"700 Castle St, Baltimore",1,-76.5886947,39.2986119
"700 Rutland Ave, Baltimore",1,-76.592178,39.2984724
"700 Wolfe St, Baltimore",1,-76.5901464,39.283427
"701 N Washington St, Baltimore",1,-76.5893653,39.2989033
"720 Rutland Ave, Baltimore",2,-76.5922257,39.2987782
"725 North Wolfe St, Baltimore",3,-76.5902656,39.2992058
"733 N Broadway, Baltimore",2,-76.5935207,39.2992589
"900 Wolfe St, Baltimore",1,-76.5901266,39.2816443
"929 Wolfe St, Baltimore",1,-76.5909234,39.3012245
"933 N. Wolfe St, Baltimore",1,-76.5909625,39.301351
"Orleans St & N Wolfe St, Baltimore",2,-76.5906889,39.2952925
"Orleans St, Baltimore",1,-76.5939642,39.2953102
